"id","title","description","project_id","status","priority","assigned_to","created_by","image_url","annotation_data","score","assigned_at","submitted_at","reviewed_by","reviewed_at","review_comment","created_at","updated_at"
task1,肾脏CT标注任务001,标注左肾CT影像中的病变区域,proj1,approved,high,user2,user1,/api/images/kidney001.jpg,"{""lesions"": [{""x"": 100, ""y"": 150, ""type"": ""tumor""}]}",50,,2024-12-03 16:00:00.000,user1,2024-12-03 16:00:00.000,标注准确，质量良好,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task2,膀胱CT标注任务002,标注膀胱CT影像中的异常区域,proj1,approved,medium,user2,user1,/api/images/bladder002.jpg,"{""lesions"": [{""x"": 200, ""y"": 180, ""type"": ""stone""}]}",40,,2024-12-04 14:30:00.000,user1,2024-12-04 14:30:00.000,标注正确,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task3,输尿管CT标注任务003,标注输尿管CT影像中的狭窄区域,proj1,approved,high,user2,user1,/api/images/ureter003.jpg,"{""lesions"": [{""x"": 150, ""y"": 120, ""type"": ""stricture""}]}",60,,2024-12-05 11:20:00.000,user1,2024-12-05 11:20:00.000,标注详细，质量优秀,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task4,肾脏CT标注任务004,标注右肾CT影像中的囊肿区域,proj1,in_progress,medium,user3,user1,/api/images/kidney004.jpg,"",45,,,,,,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task9,肺炎X光片标注任务001,标注胸部X光片中的肺炎病变区域,proj2,approved,high,user3,user1,/api/images/chest001.jpg,"{""lesions"": [{""x"": 120, ""y"": 200, ""type"": ""pneumonia""}]}",50,,2024-12-07 15:45:00.000,user1,2024-12-07 15:45:00.000,标注准确,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task10,结核X光片标注任务002,标注胸部X光片中的结核病变区域,proj2,approved,high,user3,user1,/api/images/chest002.jpg,"{""lesions"": [{""x"": 180, ""y"": 160, ""type"": ""tuberculosis""}]}",60,,2024-12-08 16:30:00.000,user1,2024-12-08 16:30:00.000,标注详细，质量良好,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task11,肿瘤X光片标注任务003,标注胸部X光片中的肿瘤病变区域,proj2,in_progress,high,user4,user1,/api/images/chest003.jpg,"",70,,,,,,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task14,肺炎X光片标注任务006,标注胸部X光片中的肺炎病变区域,proj2,pending,low,,user1,/api/images/chest006.jpg,"",35,,,,,,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task15,结核X光片标注任务007,标注胸部X光片中的结核病变区域,proj2,pending,low,,user1,/api/images/chest007.jpg,"",30,,,,,,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task16,脑肿瘤MRI标注任务001,标注脑部MRI影像中的肿瘤区域,proj3,approved,high,user4,user1,/api/images/brain001.jpg,"{""lesions"": [{""x"": 100, ""y"": 100, ""type"": ""tumor""}]}",80,,2024-12-12 17:00:00.000,user1,2024-12-12 17:00:00.000,标注精确，质量优秀,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task18,脑出血MRI标注任务003,标注脑部MRI影像中的出血区域,proj3,pending,high,,user1,/api/images/brain003.jpg,"",75,,,,,,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task19,脑萎缩MRI标注任务004,标注脑部MRI影像中的萎缩区域,proj3,pending,medium,,user1,/api/images/brain004.jpg,"",60,,,,,,2025-08-22 09:31:59.357,2025-08-22 09:31:59.357
task17,脑梗塞MRI标注任务002,标注脑部MRI影像中的梗塞区域,proj3,in_progress,high,user1,user1,/api/images/brain002.jpg,"",70,2025-08-26 17:41:51.657,,,,,2025-08-22 09:31:59.357,2025-08-26 09:41:51.641
task8,膀胱CT标注任务008,标注膀胱CT影像中的炎症区域,proj1,in_progress,low,user1,user1,/api/images/bladder008.jpg,"",30,2025-08-26 18:03:12.896,,,,,2025-08-22 09:31:59.357,2025-08-26 10:03:12.898
task20,脑积水MRI标注任务005,标注脑部MRI影像中的积水区域,proj3,in_progress,medium,user1,user1,/api/images/brain005.jpg,"",65,2025-08-26 18:03:36.814,,,,,2025-08-22 09:31:59.357,2025-08-26 10:03:36.816
task12,气胸X光片标注任务004,标注胸部X光片中的气胸区域,proj2,in_progress,medium,user1,user1,/api/images/chest004.jpg,"",45,2025-08-26 18:07:22.095,,,,,2025-08-22 09:31:59.357,2025-08-26 10:07:22.097
task13,积液X光片标注任务005,标注胸部X光片中的胸腔积液区域,proj2,in_progress,medium,user1,user1,/api/images/chest005.jpg,"",40,2025-08-26 22:34:12.896,,,,,2025-08-22 09:31:59.357,2025-08-26 14:34:12.895
task7,肾脏CT标注任务007,标注左肾CT影像中的感染区域,proj1,in_progress,low,user1,user1,/api/images/kidney007.jpg,"",35,2025-08-26 22:55:43.811,,,,,2025-08-22 09:31:59.357,2025-08-26 14:55:43.806
task6,输尿管CT标注任务006,标注输尿管CT影像中的结石区域,proj1,submitted,medium,user1,user1,/api/images/ureter006.jpg,"{""comment"": ""64654165465456"", ""organ_count"": 1, ""images"": [{""name"": ""\u751f\u4ea7\u5b8c\u6210\u793a\u610f\u56fe.png"", ""size"": 410084, ""type"": ""image/png"", ""url"": ""blob:http://localhost:3007/368a9d2e-10b0-4e7e-8b6e-eeeaf1ef2707""}], ""timestamp"": ""2025-08-27T01:33:44.008Z"", ""screenshot_count"": 1}",0,2025-08-26 17:21:50.066,2025-08-27 09:33:44.020,user1,2025-08-27 09:33:07.073,发发发给嘎达嘎嘎,2025-08-22 09:31:59.357,2025-08-27 01:33:44.019
task5,膀胱CT标注任务005,标注膀胱CT影像中的肿瘤区域,proj1,approved,high,user1,user1,/api/images/bladder005.jpg,"{""comment"": ""8978978979878978"", ""organ_count"": 1, ""images"": [{""name"": ""\u751f\u4ea7\u6d41\u7a0b\u6c47\u603b\u56fe.png"", ""size"": 590300, ""type"": ""image/png"", ""url"": ""blob:http://localhost:3007/36cf6e73-8317-4a82-b032-28d0c012ed26""}], ""timestamp"": ""2025-08-27T01:30:17.742Z"", ""screenshot_count"": 1}",100,2025-08-26 17:19:58.524,2025-08-27 09:30:17.757,user1,2025-08-27 09:30:51.929,完美了,2025-08-22 09:31:59.357,2025-08-27 01:30:51.930
